Easting,Northing,n
547075.0009,262074.9999,3
547225.0009,256424.9999,3
547375.0009,257024.9999,3
547375.0009,262124.9999,3
547425.0009,262224.9999,3
547475.0009,257774.9999,3
547475.0009,257874.9999,3
548425.0009,257524.9999,3
548575.0009,249524.9999,3
548575.0009,260224.9999,3
548775.0009,253474.9999,3
548975.0009,257024.9999,3
549175.0009,257224.9999,3
549425.0009,258574.9999,3
549475.0009,256524.9999,3
549675.0009,257124.9999,3
550325.0009,273074.9999,3
550625.0009,248524.9999,3
550775.0009,251374.9999,3
550825.0009,274474.9999,3
550875.0009,259424.9999,3
550875.0009,274474.9999,3
551425.0009,259674.9999,3
551525.0009,259724.9999,3
551525.0009,259824.9999,3
552875.0009,280924.9999,3
552975.0009,260224.9999,3
553375.0009,249374.9999,3
553375.0009,282924.9999,3
554025.0009,280474.9999,3
554075.0009,280424.9999,3
554075.0009,280574.9999,3
554225.0009,280424.9999,3
554425.0009,280124.9999,3
554625.0009,279224.9999,3
554625.0009,280274.9999,3
554825.0009,260124.9999,3
555075.0009,260074.9999,3
555575.0009,246724.9999,3
555875.0009,246574.9999,3
556575.0009,284074.9999,3
557775.0009,256974.9999,3
558225.0009,275274.9999,3
559175.0009,276774.9999,3
561075.0009,271724.9999,3
563025.0009,257874.9999,3
563075.0009,250424.9999,3
563325.0009,267974.9999,3
563375.0009,270774.9999,3
565575.0009,271474.9999,3
566625.0009,266324.9999,3
567225.0009,268924.9999,3
503325.0009,304974.9999,2
504475.0009,303874.9999,2
504675.0009,270524.9999,2
504725.0009,270524.9999,2
504925.0009,275974.9999,2
505025.0009,270374.9999,2
505025.0009,303324.9999,2
505075.0009,300274.9999,2
505325.0009,275624.9999,2
505475.0009,302974.9999,2
505675.0009,302824.9999,2
506075.0009,302474.9999,2
506175.0009,302324.9999,2
506175.0009,302374.9999,2
506375.0009,302074.9999,2
506575.0009,301874.9999,2
507025.0009,301224.9999,2
507075.0009,299774.9999,2
507275.0009,300574.9999,2
507325.0009,299774.9999,2
507375.0009,299274.9999,2
507425.0009,300124.9999,2
507425.0009,300174.9999,2
507525.0009,299824.9999,2
507575.0009,299574.9999,2
508275.0009,299674.9999,2
509175.0009,292824.9999,2
510675.0009,273924.9999,2
510825.0009,294224.9999,2
511125.0009,297074.9999,2
511125.0009,306274.9999,2
511575.0009,282774.9999,2
512375.0009,272024.9999,2
512775.0009,287024.9999,2
512875.0009,272874.9999,2
512875.0009,295424.9999,2
513275.0009,295374.9999,2
513325.0009,295324.9999,2
513475.0009,295824.9999,2
513675.0009,264474.9999,2
